"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"366";"Tonneins";"AAV2020"
"GEO";"Géographie";"355";"Lesparre-Médoc";"AAV2020"
"GEO";"Géographie";"383";"Clamecy";"AAV2020"
"GEO";"Géographie";"333";"Louhans";"AAV2020"
"GEO";"Géographie";"398";"Bagnères-de-Bigorre";"AAV2020"
"GEO";"Géographie";"356";"Castelsarrasin";"AAV2020"
"GEO";"Géographie";"384";"Saint-Gervais-les-Bains";"AAV2020"
"GEO";"Géographie";"399";"Saint-Martin-de-Crau";"AAV2020"
"GEO";"Géographie";"367";"Graulhet";"AAV2020"
"GEO";"Géographie";"357";"Belleville-en-Beaujolais";"AAV2020"
"GEO";"Géographie";"385";"Fumel";"AAV2020"
"GEO";"Géographie";"334";"Valréas";"AAV2020"
"GEO";"Géographie";"400";"Gournay-en-Bray";"AAV2020"
"GEO";"Géographie";"358";"Carentan-les-Marais";"AAV2020"
"GEO";"Géographie";"386";"Ruffec";"AAV2020"
"GEO";"Géographie";"415";"Tonnerre";"AAV2020"
"GEO";"Géographie";"401";"Roye";"AAV2020"
"GEO";"Géographie";"335";"Tournon-sur-Rhône";"AAV2020"
"GEO";"Géographie";"416";"Digoin";"AAV2020"
